repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
jalpedersen/jetty-hazelcast,hbepoch,67.31,257494.67,333.77,89.79,2043118.67,47,244.81,32.36,3700517.33,47,105.05,7.88,3867850.67,47
jalpedersen/jetty-hazelcast,lockset,66.95,256462.67,148.68,14.34,3419640.00,362,76.59,6.33,4963784.00,361,160.96,13.23,4772334.67,362
jalpedersen/jetty-hazelcast,shb,66.65,245321.33,569.53,46.05,7340229.33,9,86.17,6.11,6186346.67,9,137.12,10.07,3207082.67,9
jalpedersen/jetty-hazelcast,shbepoch,6.09,263105.33,83.71,6.56,5592681.33,7,164.10,11.19,5308345.33,7,89.61,6.82,5421052.00,7
javadelight/delight-fileupload,fhb,4.61,419965.33,8.20,0.34,650680.00,0,7.75,0.62,644769.33,0,8.57,0.53,638738.67,0
javadelight/delight-fileupload,goldilocks,5.37,461332.00,12.83,0.54,666773.33,0,11.11,0.31,679457.33,0,13.22,0.78,674813.33,0
javadelight/delight-fileupload,hb,3.07,473168.00,,,,0,9.44,0.36,686154.67,0,8.94,0.41,672838.67,0
javadelight/delight-fileupload,hbepoch,5.16,465952.00,13.36,0.60,672357.33,0,10.23,0.29,691468.00,0,9.86,0.61,683610.67,0
javadelight/delight-fileupload,lockset,4.92,431172.00,7.95,0.29,646056.00,0,11.12,0.61,690976.00,0,7.66,0.49,637289.33,0
javadelight/delight-fileupload,shb,5.11,461453.33,7.80,0.27,673068.00,0,9.39,0.28,672396.00,0,9.91,0.55,682484.00,0
javadelight/delight-fileupload,shbepoch,4.85,439733.33,8.42,0.34,651344.00,0,9.54,0.31,647180.00,0,9.95,0.76,676225.33,0
javadelight/delight-fileupload,syncp,4.82,460426.67,153.41,0.99,12241512.00,0,171.83,0.48,12233912.00,0,221.20,0.67,12204672.00,0
javadelight/delight-fileupload,wcp,4.82,442908.00,14.31,0.47,670526.67,0,9.46,0.32,689420.00,0,9.93,0.51,648210.67,0
jclawson/jackson-dataformat-hocon,fhb,6.18,248692.00,47.42,4.05,2088473.33,3,40.86,3.85,2008244.00,3,28.95,1.70,2896586.67,3
jclawson/jackson-dataformat-hocon,goldilocks,2.25,248742.67,47.62,3.68,2235576.00,5,47.54,2.26,2658226.67,5,71.51,6.26,2616858.67,5
jclawson/jackson-dataformat-hocon,hb,7.10,260485.33,42.60,2.41,2026501.33,5,47.20,2.35,2088624.00,5,33.68,3.06,2074358.67,5
jclawson/jackson-dataformat-hocon,hbepoch,2.27,260678.00,,,,5,45.38,2.43,1829478.67,5,39.68,2.41,2155454.67,5
jclawson/jackson-dataformat-hocon,lockset,5.08,247665.33,26.17,2.09,2189282.67,5,40.37,3.82,1731921.33,5,28.05,1.86,2728864.00,3
jclawson/jackson-dataformat-hocon,shb,2.65,268392.00,,,,3,39.77,2.48,2015373.33,3,51.77,3.04,2277313.33,3
jclawson/jackson-dataformat-hocon,shbepoch,6.59,257028.00,38.50,2.63,3315202.67,3,31.72,2.55,1990325.33,3,69.73,6.75,1982918.67,3
jclawson/jackson-dataformat-hocon,wcp,2.36,259841.33,61.38,2.65,7279358.67,5,53.85,2.56,7745669.33,5,63.02,4.56,7204110.67,5
jiangxincode/SearchEngine,fhb,2.36,282732.00,8.61,0.29,411305.33,2,8.04,0.25,426417.33,2,13.52,1.46,414642.67,2
jiangxincode/SearchEngine,goldilocks,2.32,271238.67,5.78,0.19,406566.67,5,8.47,0.25,429998.67,5,13.06,1.48,434209.33,5
jiangxincode/SearchEngine,hb,2.78,274741.33,6.50,0.23,426689.33,3,5.67,0.21,399304.00,2,16.26,0.69,439061.33,2
jiangxincode/SearchEngine,hbepoch,2.45,270812.00,9.38,0.33,425793.33,1,5.60,0.19,396326.67,2,11.04,0.70,425730.67,2
jiangxincode/SearchEngine,lockset,2.16,276066.67,8.45,0.32,440728.00,5,6.34,0.25,402234.67,5,10.14,1.48,438282.67,5
jiangxincode/SearchEngine,shb,2.30,274602.67,5.67,0.21,405537.33,2,6.30,0.21,415708.00,2,15.72,0.63,430781.33,2
jiangxincode/SearchEngine,shbepoch,2.42,281522.67,8.73,0.26,427557.33,2,7.95,0.25,421780.00,2,13.59,1.38,413742.67,2
jiangxincode/SearchEngine,syncp,3.31,274460.00,7.18,0.21,792873.33,2,11.56,0.24,785169.33,3,11.45,0.28,797712.00,2
jiangxincode/SearchEngine,wcp,3.27,259641.33,5.99,0.20,403469.33,4,8.87,0.26,424396.00,3,10.81,0.79,393234.67,2
kevinsawicki/etag-cache,fhb,8.45,366282.67,17.97,2.42,1499221.33,7,16.33,1.65,1382420.00,7,19.48,1.99,1467273.33,7
kevinsawicki/etag-cache,goldilocks,10.77,366218.67,24.31,1.49,1436221.33,9,31.93,1.71,2418128.00,10,27.26,1.73,2428390.67,9
kevinsawicki/etag-cache,hb,11.84,370694.67,19.73,2.17,759394.67,7,14.48,1.87,1223977.33,7,22.73,2.16,1079873.33,7
kevinsawicki/etag-cache,hbepoch,8.58,372441.33,22.77,2.11,1095653.33,7,16.37,1.72,1123250.67,7,19.33,1.58,980905.33,7
kevinsawicki/etag-cache,lockset,8.67,360096.00,16.40,8.65,1257294.67,856,17.53,11.73,1232876.00,856,20.10,10.15,1250337.33,856
